City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Zhigansk,RU,2022-02-05 21:46:42,66.7697,123.3711,-26.63,98,100,5.95
232,Coihaique,CL,2022-02-05 21:43:17,-45.5752,-72.0662,72.21,43,40,6.91
233,Vredendal,ZA,2022-02-05 21:46:43,-31.6683,18.5012,74.82,45,2,3.33
234,Uglegorsk,RU,2022-02-05 21:46:43,49.0833,142.0333,12.31,92,100,23.91
235,Vila Do Maio,CV,2022-02-05 21:46:44,15.1333,-23.2167,72.39,85,0,14.72
236,Fairbanks,US,2022-02-05 21:46:44,64.8378,-147.7164,15.82,80,100,0.0
237,Neuquen,AR,2022-02-05 21:43:02,-38.9516,-68.0591,78.69,31,0,4.61
238,Labytnangi,RU,2022-02-05 21:46:45,66.6572,66.4183,-18.92,99,36,1.3
239,Dudinka,RU,2022-02-05 21:46:45,69.4058,86.1778,-20.94,100,94,2.84
240,Launceston,AU,2022-02-05 21:46:46,-41.45,147.1667,62.62,65,12,3.0
241,Port Blair,IN,2022-02-05 21:46:46,11.6667,92.75,78.84,89,69,2.3
242,Ostersund,SE,2022-02-05 21:46:46,63.1792,14.6357,19.85,79,54,13.8
243,Khani,GE,2022-02-05 21:46:47,41.9563,42.9566,24.37,96,100,3.94
244,Brownsville,US,2022-02-05 21:46:47,25.9018,-97.4975,55.35,50,0,1.99
245,Evensk,RU,2022-02-05 21:46:48,61.95,159.2333,16.97,41,10,25.72
246,Norrtalje,SE,2022-02-05 21:46:48,59.758,18.705,35.02,87,16,9.89
247,Kyshtovka,RU,2022-02-05 21:46:48,56.555,76.6271,10.15,86,100,7.81
248,Te Anau,NZ,2022-02-05 21:46:49,-45.4167,167.7167,56.73,56,13,4.05
249,Aiken,US,2022-02-05 21:46:49,33.5835,-81.5998,52.11,41,0,6.91
250,Bilma,NE,2022-02-05 21:46:50,18.6853,12.9164,60.69,19,0,6.38
251,Hirara,JP,2022-02-05 21:46:50,24.8,125.2833,59.27,67,75,18.41
252,Magadan,RU,2022-02-05 21:46:51,59.5667,150.8,0.84,61,41,11.97
253,Grand Gaube,MU,2022-02-05 21:42:12,-20.0064,57.6608,79.38,79,100,8.01
254,Naze,JP,2022-02-05 21:46:51,28.3667,129.4833,47.32,68,100,17.16
255,Guasdualito,VE,2022-02-05 21:46:52,7.2424,-70.7324,89.56,43,40,3.44
256,Tuzha,RU,2022-02-05 21:46:52,57.6062,47.936,17.96,97,100,3.02
257,Kaitangata,NZ,2022-02-05 21:46:52,-46.2817,169.8464,54.93,65,95,5.86
258,Manggar,ID,2022-02-05 21:46:53,-2.8833,108.2667,77.68,88,100,8.12
259,Tecuala,MX,2022-02-05 21:46:53,22.3986,-105.4569,82.35,41,61,8.93
260,Shakawe,BW,2022-02-05 21:46:54,-18.3667,21.85,67.35,90,68,3.09
261,Puerto Escondido,MX,2022-02-05 21:46:54,15.85,-97.0667,81.72,60,0,6.53
262,Petatlan,MX,2022-02-05 21:46:54,17.5167,-101.2667,85.71,43,0,5.68
263,Saint-Philippe,RE,2022-02-05 21:45:32,-21.3585,55.7679,80.19,84,100,19.01
264,Vao,NC,2022-02-05 21:46:55,-22.6667,167.4833,80.08,86,34,11.99
265,Sangar,RU,2022-02-05 21:46:55,63.9242,127.4739,-34.78,99,100,3.13
266,Nogales,MX,2022-02-05 21:44:43,31.3086,-110.9422,65.32,20,0,3.44
267,Kysyl-Syr,RU,2022-02-05 21:46:56,63.8986,122.7617,-24.56,100,98,2.42
268,Maumere,ID,2022-02-05 21:46:57,-8.6199,122.2111,78.94,83,51,8.08
269,La Mira,MX,2022-02-05 21:46:57,18.035,-102.3266,82.02,54,0,9.06
270,Carballo,ES,2022-02-05 21:46:57,43.213,-8.691,48.87,84,3,4.92
271,Mobara,JP,2022-02-05 21:46:58,35.4167,140.3,33.91,43,5,8.39
272,Hermosillo,MX,2022-02-05 21:44:04,29.0667,-110.9667,78.39,16,0,1.99
273,Aksarka,RU,2022-02-05 21:46:58,66.5606,67.7975,-20.25,100,64,3.56
274,Poya,NC,2022-02-05 21:46:59,-21.35,165.15,82.53,77,50,5.08
275,Iqaluit,CA,2022-02-05 21:46:59,63.7506,-68.5145,-25.87,56,75,3.44
276,Inverness,GB,2022-02-05 21:43:14,57.4791,-4.224,37.22,88,40,5.01
277,Zhizdra,RU,2022-02-05 21:48:00,53.746,34.7395,23.14,96,100,8.93
278,Kauhajoki,FI,2022-02-05 21:48:00,62.4333,22.1833,28.38,95,26,6.8
279,Kondoa,TZ,2022-02-05 21:48:01,-4.9,35.7833,62.42,92,100,2.73
280,Imeni Zhelyabova,RU,2022-02-05 21:48:01,58.9544,36.5956,8.56,96,85,7.29
281,Hovd,MN,2022-02-05 21:48:02,48.0056,91.6419,-13.43,78,21,4.09
282,Green River,US,2022-02-05 21:48:02,41.5286,-109.4662,43.14,49,0,23.96
283,Rothesay,GB,2022-02-05 21:48:02,55.8365,-5.0551,41.16,86,100,20.11
284,Januaria,BR,2022-02-05 21:48:03,-15.4833,-44.3667,74.05,85,100,5.23
285,Mombetsu,JP,2022-02-05 21:48:03,44.3525,143.3525,20.86,83,100,11.95
286,Buckeye,US,2022-02-05 21:48:04,33.3703,-112.5838,68.43,11,9,8.05
287,Saint-Joseph,RE,2022-02-05 21:46:53,-21.3667,55.6167,79.18,83,100,13.96
288,Yangjiang,CN,2022-02-05 21:48:04,21.85,111.9667,56.95,71,64,7.05
289,Machico,PT,2022-02-05 21:48:04,32.7,-16.7667,67.01,83,40,5.75
290,Contai,IN,2022-02-05 21:48:05,21.7786,87.7536,58.86,56,12,8.14
291,Belaya Gora,RU,2022-02-05 21:48:05,68.5333,146.4167,-41.71,100,97,1.61
292,Grants,US,2022-02-05 21:44:23,35.1473,-107.8514,43.03,31,0,13.8
293,Am Timan,TD,2022-02-05 21:48:06,11.0297,20.2827,75.27,18,100,7.43
